slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol,Byun Baekhyun | Baekhyun & Park Chanyeol | Chanyeol,2,EXO,RPF,M / M,E Asian,EXO - Byun Baekhyun | Baekhyun,EXO - Park Chanyeol | Chanyeol,None,None
Do Kyungsoo | D.O x Kim Jongin | Kai,Do Kyungsoo | D.O & Kim Jongin | Kai,2,EXO,RPF,M / M,E Asian,EXO - Do Kyungsoo | D.O,EXO - Kim Jongin | Kai,None,None
Aaron Dingle x Robert Sugden,Aaron Dingle & Robert Sugden,2,Emmerdale,fictional,M / M,White,Emmerdale - Aaron Dingle,Emmerdale - Robert Sugden,None,None
Charity Dingle x Vanessa Woodfield,Charity Dingle & Vanessa Woodfield,2,Emmerdale,fictional,F / F,White,Emmerdale - Charity Dingle,Emmerdale - Vanessa Woodfield,None,None
Amy Raudenfeld x Karma Ashcroft,Amy Raudenfeld & Karma Ashcroft,2,Faking It,fictional,F / F,White,Faking It - Amy Raudenfeld,Faking It - Karma Ashcroft,None,None
Patrick Stump x Pete Wentz,Patrick Stump & Pete Wentz,2,Fall Out Boy,RPF,M / M,White / Black (Multi),Fall Out Boy - Patrick Stump,Fall Out Boy - Pete Wentz,None,None
Camila Cabello x Lauren Jauregui,Camila Cabello & Lauren Jauregui,2,Fifth Harmony,RPF,F / F,Latin,Fifth Harmony - Camila Cabello,Fifth Harmony - Lauren Jauregui,None,None
Boyang Jin x Yuzuru Hanyu,Boyang Jin & Yuzuru Hanyu,2,Figure Skating,RPF,M / M,E Asian,Figure Skating - Boyang Jin,Figure Skating - Yuzuru Hanyu,None,None
Lightning x Oerba-Yun Fang,Lightning & Oerba-Yun Fang,2,Final Fantasy | ファイナルファンタジー,fictional,F / F,White / E Asian,Final Fantasy | ファイナルファンタジー - Lightning,Final Fantasy | ファイナルファンタジー - Oerba-Yun Fang,None,None
Noctis Lucis Caelum x Prompto Argentum,Noctis Lucis Caelum & Prompto Argentum,2,Final Fantasy | ファイナルファンタジー,fictional,M / M,E Asian / White,Final Fantasy | ファイナルファンタジー - Noctis Lucis Caelum,Final Fantasy | ファイナルファンタジー - Prompto Argentum,None,None
Byleth Eisner | Player Character x Dimitri Alexandre Blaiddyd,Byleth Eisner | Player Character & Dimitri Alexandre Blaiddyd,2,Fire Emblem | ファイアーエムブレム,fictional,Ambig / M,MENA / White,Fire Emblem | ファイアーエムブレム - Byleth Eisner | Player Character,Fire Emblem | ファイアーエムブレム - Dimitri Alexandre Blaiddyd,None,None
Byleth Eisner | Player Character x Edelgard von Hresvelg,Byleth Eisner | Player Character & Edelgard von Hresvelg,2,Fire Emblem | ファイアーエムブレム,fictional,Ambig / F,MENA / White,Fire Emblem | ファイアーエムブレム - Byleth Eisner | Player Character,Fire Emblem | ファイアーエムブレム - Edelgard von Hresvelg,None,None
Felix Hugo Fraldarius x Sylvain Jose Gautier,Felix Hugo Fraldarius & Sylvain Jose Gautier,2,Fire Emblem | ファイアーエムブレム,fictional,M / M,White,Fire Emblem | ファイアーエムブレム - Felix Hugo Fraldarius,Fire Emblem | ファイアーエムブレム - Sylvain Jose Gautier,None,None
Matsuoka Rin x Nanase Haruka,Matsuoka Rin & Nanase Haruka,2,Free!,fictional,M / M,E Asian,Free! - Matsuoka Rin,Free! - Nanase Haruka,None,None
Nanase Haruka x Tachibana Makoto,Nanase Haruka & Tachibana Makoto,2,Free!,fictional,M / M,E Asian,Free! - Nanase Haruka,Free! - Tachibana Makoto,None,None
Anna x Elsa,Anna & Elsa,2,Frozen,fictional,F / F,Eu Ind (Multi),Frozen - Anna,Frozen - Elsa,None,None
Edward Elric x Roy Mustang,Edward Elric & Roy Mustang,2,Fullmetal Alchemist | 鋼の錬金術師,fictional,M / M,White / Ambig,Fullmetal Alchemist | 鋼の錬金術師 - Edward Elric,Fullmetal Alchemist | 鋼の錬金術師 - Roy Mustang,None,None
Edward Elric x Winry Rockbell,Edward Elric & Winry Rockbell,2,Fullmetal Alchemist | 鋼の錬金術師,fictional,M / F,White,Fullmetal Alchemist | 鋼の錬金術師 - Edward Elric,Fullmetal Alchemist | 鋼の錬金術師 - Winry Rockbell,None,None
Brad Colbert x Nate Fick,Brad Colbert & Nate Fick,2,Generation Kill,fictional,M / M,White,Generation Kill - Brad Colbert,Generation Kill - Nate Fick,None,None
Alatus | Xiao x Venti,Alatus | Xiao & Venti,2,Genshin Impact | 原神,fictional,M / M,E Asian / Ambig,Genshin Impact | 原神 - Alatus | Xiao,Genshin Impact | 原神 - Venti,None,None
Albedo x Kaeya,Albedo & Kaeya,2,Genshin Impact | 原神,fictional,M / M,White / Ambig,Genshin Impact | 原神 - Albedo,Genshin Impact | 原神 - Kaeya,None,None
Albedo x Traveler | Player Character,Albedo & Traveler | Player Character,2,Genshin Impact | 原神,fictional,M / Ambig,White,Genshin Impact | 原神 - Albedo,Genshin Impact | 原神 - Traveler | Player Character,None,None
Alhaitham x Kaveh,Alhaitham & Kaveh,2,Genshin Impact | 原神,fictional,M / M,MENA,Genshin Impact | 原神 - Alhaitham,Genshin Impact | 原神 - Kaveh,None,None
Beidou x Ningguang,Beidou & Ningguang,2,Genshin Impact | 原神,fictional,F / F,E Asian,Genshin Impact | 原神 - Beidou,Genshin Impact | 原神 - Ningguang,None,None
Cyno x Tighnari,Cyno & Tighnari,2,Genshin Impact | 原神,fictional,M / M,MENA,Genshin Impact | 原神 - Cyno,Genshin Impact | 原神 - Tighnari,None,None
Diluc x Kaeya,Diluc & Kaeya,2,Genshin Impact | 原神,fictional,M / M,White / Ambig,Genshin Impact | 原神 - Diluc,Genshin Impact | 原神 - Kaeya,None,None
Ganyu x Keqing,Ganyu & Keqing,2,Genshin Impact | 原神,fictional,F / F,E Asian,Genshin Impact | 原神 - Ganyu,Genshin Impact | 原神 - Keqing,None,None
Jean x Lisa,Jean & Lisa,2,Genshin Impact | 原神,fictional,F / F,White,Genshin Impact | 原神 - Jean,Genshin Impact | 原神 - Lisa,None,None
Kaedehara Kazuha x Scaramouche | The Balladeer,Kaedehara Kazuha & Scaramouche | The Balladeer,2,Genshin Impact | 原神,fictional,M / M,E Asian,Genshin Impact | 原神 - Kaedehara Kazuha,Genshin Impact | 原神 - Scaramouche | The Balladeer,None,None
Kamisato Ayato x Thoma,Kamisato Ayato & Thoma,2,Genshin Impact | 原神,fictional,M / M,E Asian / E Asian (Multi),Genshin Impact | 原神 - Kamisato Ayato,Genshin Impact | 原神 - Thoma,None,None
Raiden Ei | Beelzebul x Yae Miko | Guuji,Raiden Ei | Beelzebul & Yae Miko | Guuji,2,Genshin Impact | 原神,fictional,F / F,E Asian,Genshin Impact | 原神 - Raiden Ei | Beelzebul,Genshin Impact | 原神 - Yae Miko | Guuji,None,None
Tartaglia | Childe x Traveler | Player Character,Tartaglia | Childe & Traveler | Player Character,2,Genshin Impact | 原神,fictional,M / Ambig,White,Genshin Impact | 原神 - Tartaglia | Childe,Genshin Impact | 原神 - Traveler | Player Character,None,None
Tartaglia | Childe x Zhongli,Tartaglia | Childe & Zhongli,2,Genshin Impact | 原神,fictional,M / M,White / E Asian,Genshin Impact | 原神 - Tartaglia | Childe,Genshin Impact | 原神 - Zhongli,None,None
Erin Gilbert x Jillian Holtzmann,Erin Gilbert & Jillian Holtzmann,2,Ghostbusters,fictional,F / F,White,Ghostbusters - Erin Gilbert,Ghostbusters - Jillian Holtzmann,None,None
Maya Hart x Riley Matthews,Maya Hart & Riley Matthews,2,Girl Meets World,fictional,F / F,White,Girl Meets World - Maya Hart,Girl Meets World - Riley Matthews,None,None
Blaine Anderson x Kurt Hummel,Blaine Anderson & Kurt Hummel,2,Glee,fictional,M / M,SE Asian (Multi) / White,Glee - Blaine Anderson,Glee - Kurt Hummel,None,None
Brittany S. Pierce x Santana Lopez,Brittany S. Pierce & Santana Lopez,2,Glee,fictional,F / F,White / Af Lat,Glee - Brittany S. Pierce,Glee - Santana Lopez,None,None
David Karofsky x Kurt Hummel,David Karofsky & Kurt Hummel,2,Glee,fictional,M / M,White,Glee - David Karofsky,Glee - Kurt Hummel,None,None
Finn Hudson x Rachel Berry,Finn Hudson & Rachel Berry,2,Glee,fictional,M / F,White,Glee - Finn Hudson,Glee - Rachel Berry,None,None
Kurt Hummel x Noah Puckerman,Kurt Hummel & Noah Puckerman,2,Glee,fictional,M / M,White,Glee - Kurt Hummel,Glee - Noah Puckerman,None,None
Kurt Hummel x Sebastian Smythe,Kurt Hummel & Sebastian Smythe,2,Glee,fictional,M / M,White,Glee - Kurt Hummel,Glee - Sebastian Smythe,None,None
Quinn Fabray x Rachel Berry,Quinn Fabray & Rachel Berry,2,Glee,fictional,F / F,White,Glee - Quinn Fabray,Glee - Rachel Berry,None,None
Quinn Fabray x Santana Lopez,Quinn Fabray & Santana Lopez,2,Glee,fictional,F / F,White / Af Lat,Glee - Quinn Fabray,Glee - Santana Lopez,None,None
Rachel Berry x Santana Lopez,Rachel Berry & Santana Lopez,2,Glee,fictional,F / F,White / Af Lat,Glee - Rachel Berry,Glee - Santana Lopez,None,None
Anthony J. Crowley x Aziraphale,Anthony J. Crowley & Aziraphale,2,Good Omens,fictional,M | Other / M,White,Good Omens - Anthony J. Crowley,Good Omens - Aziraphale,None,None
Jiāng Chéng | Jiāng Wǎnyín x Lán Huàn | Lán Xīchén,Jiāng Chéng | Jiāng Wǎnyín & Lán Huàn | Lán Xīchén,2,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,fictional,M / M,E Asian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Jiāng Chéng | Jiāng Wǎnyín,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lán Huàn | Lán Xīchén,None,None
Lán Zhàn | Lán Wàngjī x Wèi Yīng | Wèi Wúxiàn,Lán Zhàn | Lán Wàngjī & Wèi Yīng | Wèi Wúxiàn,2,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,fictional,M / M,E Asian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lán Zhàn | Lán Wàngjī,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Wèi Yīng | Wèi Wúxiàn,None,None
Wang Yi Bo x Xiao Zhan | Sean Xiao,Wang Yi Bo & Xiao Zhan | Sean Xiao,2,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,RPF,M / M,E Asian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Wang Yi Bo,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Xiao Zhan | Sean Xiao,None,None
Bill Cipher x Dipper Pines,Bill Cipher & Dipper Pines,2,Gravity Falls,fictional,M / M,N.H. / White,Gravity Falls - Bill Cipher,Gravity Falls - Dipper Pines,None,None
Mabel Pines x Pacifica Northwest,Mabel Pines & Pacifica Northwest,2,Gravity Falls,fictional,F / F,White,Gravity Falls - Mabel Pines,Gravity Falls - Pacifica Northwest,None,None
Addison Montgomery x Meredith Grey,Addison Montgomery & Meredith Grey,2,Grey's Anatomy,fictional,F / F,White,Grey's Anatomy - Addison Montgomery,Grey's Anatomy - Meredith Grey,None,None
Arizona Robbins x Calliope 'Callie' Torres,Arizona Robbins & Calliope 'Callie' Torres,2,Grey's Anatomy,fictional,F / F,White / Latin,Grey's Anatomy - Arizona Robbins,Grey's Anatomy - Calliope 'Callie' Torres,None,None
Akaashi Keiji x Bokuto Koutarou,Akaashi Keiji & Bokuto Koutarou,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Akaashi Keiji,Haikyuu!! | ハイキュー!! - Bokuto Koutarou,None,None
Hinata Shouyou x Kageyama Tobio,Hinata Shouyou & Kageyama Tobio,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Hinata Shouyou,Haikyuu!! | ハイキュー!! - Kageyama Tobio,None,None
Iwaizumi Hajime x Oikawa Tooru,Iwaizumi Hajime & Oikawa Tooru,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime,Haikyuu!! | ハイキュー!! - Oikawa Tooru,None,None
Kozume Kenma x Kuroo Tetsurou,Kozume Kenma & Kuroo Tetsurou,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Kozume Kenma,Haikyuu!! | ハイキュー!! - Kuroo Tetsurou,None,None
Miya Atsumu x Sakusa Kiyoomi,Miya Atsumu & Sakusa Kiyoomi,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Miya Atsumu,Haikyuu!! | ハイキュー!! - Sakusa Kiyoomi,None,None
Sawamura Daichi x Sugawara Koushi,Sawamura Daichi & Sugawara Koushi,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Sawamura Daichi,Haikyuu!! | ハイキュー!! - Sugawara Koushi,None,None
Shimizu Kiyoko x Yachi Hitoka,Shimizu Kiyoko & Yachi Hitoka,2,Haikyuu!! | ハイキュー!!,fictional,F / F,E Asian,Haikyuu!! | ハイキュー!! - Shimizu Kiyoko,Haikyuu!! | ハイキュー!! - Yachi Hitoka,None,None
Tsukishima Kei x Yamaguchi Tadashi,Tsukishima Kei & Yamaguchi Tadashi,2,Haikyuu!! | ハイキュー!!,fictional,M / M,E Asian,Haikyuu!! | ハイキュー!! - Tsukishima Kei,Haikyuu!! | ハイキュー!! - Yamaguchi Tadashi,None,None
Alexander Hamilton x Elizabeth 'Eliza' Schuyler,Alexander Hamilton & Elizabeth 'Eliza' Schuyler,2,Hamilton,fictional,M / F,Latin / E Asian,Hamilton - Alexander Hamilton,Hamilton - Elizabeth 'Eliza' Schuyler,None,None
Alexander Hamilton x John Laurens,Alexander Hamilton & John Laurens,2,Hamilton,fictional,M / M,Latin,Hamilton - Alexander Hamilton,Hamilton - John Laurens,None,None
Alexander Hamilton x Thomas Jefferson,Alexander Hamilton & Thomas Jefferson,2,Hamilton,fictional,M / M,Latin / Black,Hamilton - Alexander Hamilton,Hamilton - Thomas Jefferson,None,None
Elizabeth 'Eliza' Schuyler x Maria Reynolds,Elizabeth 'Eliza' Schuyler & Maria Reynolds,2,Hamilton,fictional,F / F,E Asian / Black,Hamilton - Elizabeth 'Eliza' Schuyler,Hamilton - Maria Reynolds,None,None
Alana Bloom x Margot Verger,Alana Bloom & Margot Verger,2,Hannibal,fictional,F / F,White,Hannibal - Alana Bloom,Hannibal - Margot Verger,None,None
Hannibal Lecter x Will Graham,Hannibal Lecter & Will Graham,2,Hannibal,fictional,M / M,White,Hannibal - Hannibal Lecter,Hannibal - Will Graham,None,None
Barty Crouch Jr. x Evan Rosier,Barty Crouch Jr. & Evan Rosier,2,Harry Potter Universe,fictional,M / M,White / Unknown,Harry Potter Universe - Barty Crouch Jr.,Harry Potter Universe - Evan Rosier,None,None
`Bellatrix Lestrange, née Black x Hermione Granger`,`Bellatrix Lestrange, née Black & Hermione Granger`,2,Harry Potter Universe,fictional,F / F,White / Ambig,`Harry Potter Universe - Bellatrix Lestrange, née Black`,Harry Potter Universe - Hermione Granger,None,None
Credence Barebone x Percival Graves,Credence Barebone & Percival Graves,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Credence Barebone,Harry Potter Universe - Percival Graves,None,None
Dorcas Meadowes x Marlene McKinnon,Dorcas Meadowes & Marlene McKinnon,2,Harry Potter Universe,fictional,F / F,Black / White,Harry Potter Universe - Dorcas Meadowes,Harry Potter Universe - Marlene McKinnon,None,None
Draco Malfoy x Harry Potter,Draco Malfoy & Harry Potter,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Draco Malfoy,Harry Potter Universe - Harry Potter,None,None
Draco Malfoy x Hermione Granger,Draco Malfoy & Hermione Granger,2,Harry Potter Universe,fictional,M / F,White / Ambig,Harry Potter Universe - Draco Malfoy,Harry Potter Universe - Hermione Granger,None,None
Ginny Weasley x Harry Potter,Ginny Weasley & Harry Potter,2,Harry Potter Universe,fictional,F / M,White,Harry Potter Universe - Ginny Weasley,Harry Potter Universe - Harry Potter,None,None
Ginny Weasley x Hermione Granger,Ginny Weasley & Hermione Granger,2,Harry Potter Universe,fictional,F / F,White / Ambig,Harry Potter Universe - Ginny Weasley,Harry Potter Universe - Hermione Granger,None,None
Ginny Weasley x Luna Lovegood,Ginny Weasley & Luna Lovegood,2,Harry Potter Universe,fictional,F / F,White,Harry Potter Universe - Ginny Weasley,Harry Potter Universe - Luna Lovegood,None,None
Harry Potter x Ron Weasley,Harry Potter & Ron Weasley,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Harry Potter,Harry Potter Universe - Ron Weasley,None,None
Harry Potter x Severus Snape,Harry Potter & Severus Snape,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Harry Potter,Harry Potter Universe - Severus Snape,None,None
Harry Potter x Tom Riddle | Voldemort,Harry Potter & Tom Riddle | Voldemort,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Harry Potter,Harry Potter Universe - Tom Riddle | Voldemort,None,None
Hermione Granger x Pansy Parkinson,Hermione Granger & Pansy Parkinson,2,Harry Potter Universe,fictional,F / F,Ambig / White,Harry Potter Universe - Hermione Granger,Harry Potter Universe - Pansy Parkinson,None,None
Hermione Granger x Ron Weasley,Hermione Granger & Ron Weasley,2,Harry Potter Universe,fictional,F / M,Ambig / White,Harry Potter Universe - Hermione Granger,Harry Potter Universe - Ron Weasley,None,None
Hermione Granger x Severus Snape,Hermione Granger & Severus Snape,2,Harry Potter Universe,fictional,F / M,Ambig / White,Harry Potter Universe - Hermione Granger,Harry Potter Universe - Severus Snape,None,None
`James Potter x Lily Potter, née Evans`,`James Potter & Lily Potter, née Evans`,2,Harry Potter Universe,fictional,M / F,White,Harry Potter Universe - James Potter,`Harry Potter Universe - Lily Potter, née Evans`,None,None
James Potter x Regulus Black,James Potter & Regulus Black,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - James Potter,Harry Potter Universe - Regulus Black,None,None
`Lily Potter, née Evans x Mary Macdonald`,`Lily Potter, née Evans & Mary Macdonald`,2,Harry Potter Universe,fictional,F / F,White / Unknown,`Harry Potter Universe - Lily Potter, née Evans`,Harry Potter Universe - Mary Macdonald,None,None
Regulus Black x Sirius Black,Regulus Black & Sirius Black,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Regulus Black,Harry Potter Universe - Sirius Black,None,None
Remus Lupin x Severus Snape,Remus Lupin & Severus Snape,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Remus Lupin,Harry Potter Universe - Severus Snape,None,None
Remus Lupin x Sirius Black,Remus Lupin & Sirius Black,2,Harry Potter Universe,fictional,M / M,White,Harry Potter Universe - Remus Lupin,Harry Potter Universe - Sirius Black,None,None
Aoyagi Touya x Shinonome Akito,Aoyagi Touya & Shinonome Akito,2,Hatsune Miku / ボーカロイド | 初音ミク,fictional,M / M,E Asian,Hatsune Miku / ボーカロイド | 初音ミク - Aoyagi Touya,Hatsune Miku / ボーカロイド | 初音ミク - Shinonome Akito,None,None
Kamishiro Rui x Tenma Tsukasa,Kamishiro Rui & Tenma Tsukasa,2,Hatsune Miku / ボーカロイド | 初音ミク,fictional,M / M,E Asian,Hatsune Miku / ボーカロイド | 初音ミク - Kamishiro Rui,Hatsune Miku / ボーカロイド | 初音ミク - Tenma Tsukasa,None,None
Danny 'Danno' Williams x Steve McGarrett,Danny 'Danno' Williams & Steve McGarrett,2,Hawaii Five-0,fictional,M / M,White,Hawaii Five-0 - Danny 'Danno' Williams,Hawaii Five-0 - Steve McGarrett,None,None
Charlie Magne x Vaggie,Charlie Magne & Vaggie,2,Hazbin Hotel,fictional,F / F,N.H.,Hazbin Hotel - Charlie Magne,Hazbin Hotel - Vaggie,None,None
Charles 'Charlie' Spring x Nicholas 'Nick' Nelson,Charles 'Charlie' Spring & Nicholas 'Nick' Nelson,2,Heartstopper,fictional,M / M,White,Heartstopper - Charles 'Charlie' Spring,Heartstopper - Nicholas 'Nick' Nelson,None,None
Huā Chéng x Xiè Lián,Huā Chéng & Xiè Lián,2,Heaven Official's Blessing | 天官赐福,fictional,M / M,E Asian,Heaven Official's Blessing | 天官赐福 - Huā Chéng,Heaven Official's Blessing | 天官赐福 - Xiè Lián,None,None
Alfred F. Jones | America x Arthur Kirkland | England,Alfred F. Jones | America & Arthur Kirkland | England,2,Hetalia | ヘタリア,fictional,M / M,White,Hetalia | ヘタリア - Alfred F. Jones | America,Hetalia | ヘタリア - Arthur Kirkland | England,None,None
Duncan MacLeod x Methos,Duncan MacLeod & Methos,2,Highlander,fictional,M / M,White,Highlander - Duncan MacLeod,Highlander - Methos,None,None
Jonathan Toews x Patrick Kane,Jonathan Toews & Patrick Kane,2,Hockey,RPF,M / M,White,Hockey - Jonathan Toews,Hockey - Patrick Kane,None,None
Bernie Wolfe x Serena Campbell,Bernie Wolfe & Serena Campbell,2,Holby City,fictional,F / F,White,Holby City - Bernie Wolfe,Holby City - Serena Campbell,None,None
Aranea Serket x Meenah Peixes,Aranea Serket & Meenah Peixes,2,Homestuck,fictional,F / F,Ambig,Homestuck - Aranea Serket,Homestuck - Meenah Peixes,None,None
Calliope x Roxy Lalonde,Calliope & Roxy Lalonde,2,Homestuck,fictional,F / F,N.H. / Ambig,Homestuck - Calliope,Homestuck - Roxy Lalonde,None,None
Dave Strider x Jade Harley,Dave Strider & Jade Harley,2,Homestuck,fictional,M / F,Ambig,Homestuck - Dave Strider,Homestuck - Jade Harley,None,None
Dave Strider x John Egbert,Dave Strider & John Egbert,2,Homestuck,fictional,M / M,Ambig,Homestuck - Dave Strider,Homestuck - John Egbert,None,None
Dave Strider x Karkat Vantas,Dave Strider & Karkat Vantas,2,Homestuck,fictional,M / M,Ambig,Homestuck - Dave Strider,Homestuck - Karkat Vantas,None,None
Dirk Strider x Jake English,Dirk Strider & Jake English,2,Homestuck,fictional,M / M,Ambig,Homestuck - Dirk Strider,Homestuck - Jake English,None,None
Eridan Ampora x Sollux Captor,Eridan Ampora & Sollux Captor,2,Homestuck,fictional,M / M,N.H.,Homestuck - Eridan Ampora,Homestuck - Sollux Captor,None,None
Gamzee Makara x Tavros Nitram,Gamzee Makara & Tavros Nitram,2,Homestuck,fictional,M / M,N.H.,Homestuck - Gamzee Makara,Homestuck - Tavros Nitram,None,None
Jade Harley x Rose Lalonde,Jade Harley & Rose Lalonde,2,Homestuck,fictional,F / F,Ambig,Homestuck - Jade Harley,Homestuck - Rose Lalonde,None,None
Jane Crocker x Roxy Lalonde,Jane Crocker & Roxy Lalonde,2,Homestuck,fictional,F / F,Ambig,Homestuck - Jane Crocker,Homestuck - Roxy Lalonde,None,None
John Egbert x Karkat Vantas,John Egbert & Karkat Vantas,2,Homestuck,fictional,M / M,Ambig,Homestuck - John Egbert,Homestuck - Karkat Vantas,None,None
Kanaya Maryam x Rose Lalonde,Kanaya Maryam & Rose Lalonde,2,Homestuck,fictional,F / F,N.H. / Ambig,Homestuck - Kanaya Maryam,Homestuck - Rose Lalonde,None,None
Kanaya Maryam x Vriska Serket,Kanaya Maryam & Vriska Serket,2,Homestuck,fictional,F / F,N.H.,Homestuck - Kanaya Maryam,Homestuck - Vriska Serket,None,None
Karkat Vantas x Terezi Pyrope,Karkat Vantas & Terezi Pyrope,2,Homestuck,fictional,M / F,Ambig / N.H.,Homestuck - Karkat Vantas,Homestuck - Terezi Pyrope,None,None
Terezi Pyrope x Vriska Serket,Terezi Pyrope & Vriska Serket,2,Homestuck,fictional,F / F,N.H.,Homestuck - Terezi Pyrope,Homestuck - Vriska Serket,None,None
Greg House x James Wilson,Greg House & James Wilson,2,House M.D.,fictional,M / M,White,House M.D. - Greg House,House M.D. - James Wilson,None,None
Johanna Mason x Katniss Everdeen,Johanna Mason & Katniss Everdeen,2,Hunger Games / Panem Universe,fictional,F / F,White / Ambig,Hunger Games / Panem Universe - Johanna Mason,Hunger Games / Panem Universe - Katniss Everdeen,None,None
Katniss Everdeen x Peeta Mellark,Katniss Everdeen & Peeta Mellark,2,Hunger Games / Panem Universe,fictional,F / M,Ambig / White,Hunger Games / Panem Universe - Katniss Everdeen,Hunger Games / Panem Universe - Peeta Mellark,None,None
Ben Hanscom x Beverly Marsh,Ben Hanscom & Beverly Marsh,2,IT,fictional,M / F,White,IT - Ben Hanscom,IT - Beverly Marsh,None,None
Eddie Kaspbrak x Richie Tozier,Eddie Kaspbrak & Richie Tozier,2,IT,fictional,M / M,White,IT - Eddie Kaspbrak,IT - Richie Tozier,None,None
Arthur x Eames,Arthur & Eames,2,Inception,fictional,M / M,White,Inception - Arthur,Inception - Eames,None,None
James Bond x Q,James Bond & Q,2,James Bond Universe,fictional,M / M,White,James Bond Universe - James Bond,James Bond Universe - Q,None,None
Bruno Buccellati x Leone Abbacchio,Bruno Buccellati & Leone Abbacchio,2,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,fictional,M / M,Latin,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Bruno Buccellati,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Leone Abbacchio,None,None
Kakyoin Noriaki x Kujo 'Jojo' Jotaro,Kakyoin Noriaki & Kujo 'Jojo' Jotaro,2,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,fictional,M / M,E Asian / E Asian (Multi),JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Kakyoin Noriaki,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険 - Kujo 'Jojo' Jotaro,None,None
Liu'Er Mihou | Six-eared Macaque x Sun Wukong | Monkey King,Liu'Er Mihou | Six-eared Macaque & Sun Wukong | Monkey King,2,Journey to the West Universe,fictional,M / M,N.H.,Journey to the West Universe - Liu'Er Mihou | Six-eared Macaque,Journey to the West Universe - Sun Wukong | Monkey King,None,None
Getou Suguru x Gojo Satoru,Getou Suguru & Gojo Satoru,2,Jujutsu Kaisen | 呪術廻戦,fictional,M / M,E Asian,Jujutsu Kaisen | 呪術廻戦 - Getou Suguru,Jujutsu Kaisen | 呪術廻戦 - Gojo Satoru,None,None
Alex Mercer x Willie,Alex Mercer & Willie,2,Julie and The Phantoms,fictional,M / M,White / Am Ind / E Asian (Multi),Julie and The Phantoms - Alex Mercer,Julie and The Phantoms - Willie,None,None
Julie Molina x Luke Patterson,Julie Molina & Luke Patterson,2,Julie and The Phantoms,fictional,F / M,Latin / White,Julie and The Phantoms - Julie Molina,Julie and The Phantoms - Luke Patterson,None,None
Akanishi Jin x Kamenashi Kazuya,Akanishi Jin & Kamenashi Kazuya,2,KAT-TUN,RPF,M / M,E Asian,KAT-TUN - Akanishi Jin,KAT-TUN - Kamenashi Kazuya,None,None
Kiryuuin Satsuki x Matoi Ryuuko,Kiryuuin Satsuki & Matoi Ryuuko,2,Kill la Kill | キルラキル,fictional,F / F,E Asian,Kill la Kill | キルラキル - Kiryuuin Satsuki,Kill la Kill | キルラキル - Matoi Ryuuko,None,None
Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Eve Polastri & Oksana Anatolyevna Astankova | Villanelle,2,Killing Eve,fictional,F / F,E Asian / White,Killing Eve - Eve Polastri,Killing Eve - Oksana Anatolyevna Astankova | Villanelle,None,None
Kim Possible x Shego,Kim Possible & Shego,2,Kim Possible,fictional,F / F,White,Kim Possible - Kim Possible,Kim Possible - Shego,None,None
